Alloy,Workfunction
Cu2La2,3.25537111872114
Cu2Mo2,5.02866095145395
Cu2Nb2,4.66711186555757
Cu2Os2,5.28823820448379
Cu2Pd2,5.1770453308997
Cu2Pt2,5.46553615303244
Cu2Re2,5.35196750851939
Cu2Rh2,5.2070463509569
Cu2Ru2,5.18604032791012
Cu2Ta2,4.77347788115691
Cu2Tc2,5.21358384955499
Cu2W2,5.14630701324226
Cu2Y2,3.55531509908957
Cu2Zn2,4.81428381552515
Cu2Zr2,4.07493982437035
Fe2Ag2,4.67369875004317
Fe2Au2,4.95549191296695
Fe2Cd2,4.52989278631158
Fe2Cu2,4.90424062976214
Fe2Hf2,4.48424471132341
Fe2Hg2,4.62582857004513
Fe2Ir2,5.27107358054392
Fe2La2,3.35182057342533
Fe2Ni2,5.03547588621725
Fe2Os2,5.30313080102462
Fe2Pd2,4.89217123491904
Fe2Pt2,5.14787591353499
Fe2Rh2,4.97067120963656
Fe2Ru2,5.07109405249514
Fe2Ta2,4.75025755192807
Fe2Tc2,5.1367273260682
Fe2Y2,3.77106279202058
Fe2Zn2,4.78936280542792
Fe2Zr2,4.32337204493447
Hf,4.52352155793632
Hf2Au2,4.41548660940499
Hf2Hg2,4.36553599742118
Hf2Ir2,4.43199636063354
Hf2Os2,4.75292044833226
Hf2Pt2,4.24729571606217
Hf2Re2,4.76222554085227
Hf2Ta2,4.66843084997987
Hf2W2,4.61339562381821
Hf2Y2,3.99399843454437
Hg,4.49314776752397
Ir,5.63709040689221
Ir2Au2,5.5829558328985
Ir2Hg2,5.03782840137455
Ir2Pt2,5.7782120202231
La,3.34990135993441
La2Ag2,3.28923317706374
La2Au2,3.30631004895935
La2Cd2,3.4143273822836
La2Hf2,3.70860233290968
La2Hg2,3.39055475886536
La2Ir2,3.68757786501858
La2Mo2,3.5089794433838
La2Nb2,3.6551094244139
La2Os2,3.7746447359661
La2Pd2,3.26725389328577
La2Pt2,3.26623091354357
La2Re2,3.65393870258793
La2Rh2,3.50263266774118
La2Ru2,3.55025367033934
La2Ta2,3.73404595207813
La2Tc2,3.54219667737171
La2W2,3.63373693491097
La2Y2,3.4323335485659
La2Zr2,3.66766340982145
Mn2Ag2,4.30370668315683
Mn2Au2,4.51394776771484
Mn2Cd2,4.37586090299791
Mn2Cu2,4.47971162564343
Mn2Hg2,4.40381746465157
Mn2Ir2,5.02865270126093
Mn2La2,3.36511003510511
Mn2Mo2,4.87871489660136
Mn2Nb2,4.63305082125915
Mn2Ni2,4.72439956708751
Mn2Pd2,4.61577739902586
Mn2Pt2,4.88988264547581
Mn2Rh2,4.78658144612265
Mn2Ru2,4.85677157118994
Mn2Ta2,4.8349192351895
Mn2W2,4.99234547521662
Mn2Y2,3.70769466541274
Mn2Zn2,4.60182171819298
Mn2Zr2,4.31947069401128
Mo,4.97616661711421
