adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,d-Band_Center,d-Band_Width,d-Band_Filling,DOS at Fermi Energy,Work Function
C,Ag6Cu6,5.078700303,hollow|A_A_B|FCC,L1_o,"['Cu', 'Ag', 'Ag']","[9, 11, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,385.01,8.69,1.9199477343990152,7.626282666666666,1.2796666666666665,281.9,-3.50937414610046,1.47670175491843,0.983368029565328,3.905,4.78821048993569
C,Ag6Fe6,2.467728565,bridge|B_B|A,L1_o,"['Fe', 'Fe']","[9, 10]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,347.59,8.68,1.83,7.9024681,0.151,360.8,-2.63155837453624,0.929115029829289,0.992554831107253,10.143,4.67369875004317
C,Ag6Fe6,3.543872401,hollow-tilt|A_A_B|FCC,L1_o,"['Fe', 'Ag', 'Ag']","[9, 11, 12]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.59,8.68,1.8960737945071329,7.684978699999999,0.9183333333333332,297.8,-3.7772912079954,1.25692713743164,0.994773020413157,10.143,4.67369875004317
C,Ag6Fe6,3.546400474,hollow-tilt|A_A_B|HCP,L1_o,"['Fe', 'Ag', 'Ag']","[10, 11, 12]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.59,8.68,1.8960737945071329,7.684978699999999,0.9183333333333332,297.8,-3.77745772916484,1.25675751597998,0.994774745890976,10.143,4.67369875004317
C,Ag6Hf6,3.821319126,hollow|A_A_B|HCP,L1_o,"['Ag', 'Ag', 'Hf']","[9, 10, 11]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",3,364.085,11.855,1.691814164732478,7.325846,0.8726666666666666,396.0333333333333,-3.5283674224797,3.12010633888296,0.843128249813047,14.21,4.30467592545064
C,Ag6Hf6,3.696152203,hollow|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Hf']","[9, 10, 12]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",3,364.085,11.855,1.691814164732478,7.325846,0.8726666666666666,396.0333333333333,-3.52802740631829,3.12035705289175,0.843081479971427,14.21,4.30467592545064
C,Ag6Hf6,2.068734574,hollow|A_B_B|HCP,L1_o,"['Ag', 'Hf', 'Hf']","[10, 11, 12]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",3,364.085,11.855,1.4830234031033434,7.075457999999999,0.4433333333333333,525.7666666666667,-3.5283674224797,3.12010633888296,0.843128249813047,14.21,4.30467592545064
C,Ag6Hf6,2.212417347,hollow|A_B_B|FCC,L1_o,"['Ag', 'Hf', 'Hf']","[9, 11, 12]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",3,364.085,11.855,1.4830234031033434,7.075457999999999,0.4433333333333333,525.7666666666667,-2.11416770967811,3.86988375187292,0.662972584893701,14.21,4.30467592545064
C,Ag6Hg6,5.556749351,hollow|A_B_B|FCC,L1_o,"['Ag', 'Hg', 'Hg']","[9, 11, 12]","['Ag', 'Ag', 'Hg', 'Hg', 'Ag', 'Ag', 'Hg', 'Hg']","[5, 6, 7, 8, 9, 10, 11, 12]",3,354.515,12.18,1.9763890244674789,9.483747333333334,0.434,129.76,-5.74645352323767,1.51549328551863,0.993298146040411,4.656,4.47573721475059
C,Ag6Ir6,1.744027253,bridge|B_B|A,L1_o,"['Ir', 'Ir']","[11, 12]","['Ag', 'Ag', 'Ir', 'Ir', 'Ag', 'Ag', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",2,396.215,9.395,2.2,8.96702,1.5638,586.0,-1.6669280868789,1.92629224493724,0.808669260888165,21.28,5.15849431166805
