adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy
O,Ag12,3.426808483,top|A,A1,['Ag'],[9],"['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 8, 9, 10, 11, 12]",1,408.53,10.27,1.93,7.576234,1.302,266.3
O,Ag12,2.050680501,hollow|A_A_A|HCP,A1,"['Ag', 'Ag', 'Ag']","[10, 11, 12]","['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.53,10.27,1.93,7.576234,1.302,266.3
O,Ag12,1.961799686,hollow|A_A_A|FCC,A1,"['Ag', 'Ag', 'Ag']","[9, 10, 11]","['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.53,10.27,1.93,7.576234,1.302,266.3
O,Ag6Au6,2.431486947,hollow|A_A_B|HCP,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 11]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.115027953,8.126007333,1.637543333,291.7
O,Ag6Au6,2.272741312,hollow|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.115027953,8.126007333,1.637543333,291.7
O,Ag6Au6,2.339808257,hollow|A_B_B|HCP,L1_o,"['Ag', 'Au', 'Au']","[10, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.317794426,8.675780667,1.973086667,317.1
O,Ag6Au6,2.171728301,hollow|A_B_B|FCC,L1_o,"['Ag', 'Au', 'Au']","[9, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.317794426,8.675780667,1.973086667,317.1
O,Ag6Cd6,1.246558937,hollow|A_B_B|FCC,L1_o,"['Ag', 'Cd', 'Cd']","[9, 11, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.235,11.635,1.766486161,8.521291333,0.434,159.6333333
O,Ag6Co6,1.001724919,top|B,L1_o,['Co'],[10],"['Co', 'Co', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 8, 9, 10, 11, 12]",1,329.62,8.47,1.88,7.88101,0.662,391.2
O,Ag6Co6,-0.223120967,bridge|B_B|A,L1_o,"['Co', 'Co']","[9, 10]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,329.62,8.47,1.88,7.88101,0.662,391.2
O,Ag6Co6,0.775951931,hollow-tilt|A_A_B|FCC,L1_o,"['Co', 'Ag', 'Ag']","[9, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.47,1.913187299,7.677826,1.088666667,307.9333333
O,Ag6Co6,0.805714382,hollow-tilt|A_A_B|HCP,L1_o,"['Co', 'Ag', 'Ag']","[10, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.47,1.913187299,7.677826,1.088666667,307.9333333
O,Ag6Cu6,3.530969579,top|A,L1_o,['Ag'],[12],"['Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[6, 7, 8, 9, 10, 11, 12]",1,385.01,8.69,1.93,7.576234,1.302,266.3
O,Ag6Cu6,0.844416181,bridge|B_B|A,L1_o,"['Cu', 'Cu']","[9, 10]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,385.01,8.69,1.9,7.72638,1.235,313.1
O,Ag6Cu6,1.639051312,hollow|A_A_B|HCP,L1_o,"['Cu', 'Ag', 'Ag']","[10, 11, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,385.01,8.69,1.919947734,7.626282667,1.279666667,281.9
O,Ag6Cu6,1.516266065,hollow|A_A_B|FCC,L1_o,"['Cu', 'Ag', 'Ag']","[9, 11, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,385.01,8.69,1.919947734,7.626282667,1.279666667,281.9
O,Ag6Fe6,-0.523344981,bridge|B_B|A,L1_o,"['Fe', 'Fe']","[9, 10]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,347.59,8.68,1.83,7.9024681,0.151,360.8
O,Ag6Fe6,0.400401908,hollow-tilt|A_A_B|FCC,L1_o,"['Fe', 'Ag', 'Ag']","[9, 11, 12]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.59,8.68,1.896073795,7.6849787,0.918333333,297.8
O,Ag6Fe6,0.481627753,hollow-tilt|A_A_B|HCP,L1_o,"['Fe', 'Ag', 'Ag']","[10, 11, 12]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.59,8.68,1.896073795,7.6849787,0.918333333,297.8
O,Ag6Hf6,-1.134414021,top|B,L1_o,['Hf'],[11],"['Ag', 'Ag', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 8, 9, 10, 11, 12]",1,364.085,11.855,1.3,6.82507,0.014,655.5
O,Ag6Hf6,-2.99713733,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[9, 10]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",2,364.085,11.855,1.93,7.576234,1.302,266.3
O,Ag6Hf6,-2.997226176,bridge|B_B|A,L1_o,"['Hf', 'Hf']","[11, 12]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",2,364.085,11.855,1.3,6.82507,0.014,655.5
O,Ag6Hf6,-1.423310209,bridge-tilt|A_B|A,L1_o,"['Ag', 'Hf']","[10, 11]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",2,364.085,11.855,1.583982323,7.200652,0.658,460.9
O,Ag6Hf6,-1.219288505,hollow-tilt|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Hf']","[9, 10, 12]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",3,364.085,11.855,1.691814165,7.325846,0.872666667,396.0333333
O,Ag6Ir6,0.507282373,bridge|B_B|A,L1_o,"['Ir', 'Ir']","[11, 12]","['Ag', 'Ag', 'Ir', 'Ir', 'Ag', 'Ag', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",2,396.215,9.395,2.2,8.96702,1.5638,586
O,Ag6Ir6,0.40542268,hollow|A_B_B|FCC,L1_o,"['Ag', 'Ir', 'Ir']","[9, 11, 12]","['Ag', 'Ag', 'Ir', 'Ir', 'Ag', 'Ag', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,396.215,9.395,2.106044565,8.503424667,1.476533333,479.4333333
O,Ag6Ir6,1.212680492,hollow-tilt|A_A_B|HCP,L1_o,"['Ag', 'Ag', 'Ir']","[9, 10, 11]","['Ag', 'Ag', 'Ir', 'Ir', 'Ag', 'Ag', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,396.215,9.395,2.016101687,8.039829333,1.389266667,372.8666667
O,Ag6La6,-0.931313831,top|B,L1_o,['La'],[10],"['La', 'La', 'Ag', 'La', 'La', 'Ag', 'Ag']","[5, 6, 8, 9, 10, 11, 12]",1,392.865,16.33,1.1,5.5769,0.47,406.2
O,Ag6La6,-2.912099171,bridge|B_B|A,L1_o,"['La', 'La']","[9, 10]","['La', 'La', 'Ag', 'Ag', 'La', 'La', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,392.865,16.33,1.1,5.5769,0.47,406.2
O,Ag6Mn6,0.96435158,bridge|B_B|A,L1_o,"['Mn', 'Mn']","[9, 10]","['Mn', 'Mn', 'Ag', 'Ag', 'Mn', 'Mn', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,649.89,8.81,1.55,7.434038,0,233.2
O,Ag6Mo6,-0.888006641,top|B,L1_o,['Mo'],[10],"['Mo', 'Mo', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[5, 6, 8, 9, 10, 11, 12]",1,361.615,9.825,2.16,7.09243,0.748,636
O,Ag6Mo6,-1.436209357,bridge|B_B|B,L1_o,"['Mo', 'Mo']","[9, 10]","['Mo', 'Mo', 'Ag', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,361.615,9.825,2.16,7.09243,0.748,636
O,Ag6Mo6,-1.454437175,bridge|B_B|A,L1_o,"['Mo', 'Mo']","[9, 10]","['Mo', 'Mo', 'Ag', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,361.615,9.825,2.16,7.09243,0.748,636
O,Ag6Mo6,-1.431986967,bridge-tilt|B_B|A,L1_o,"['Mo', 'Mo']","[9, 10]","['Mo', 'Mo', 'Ag', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,361.615,9.825,2.16,7.09243,0.748,636
