VE,Adsorption Energy,VE,Adsorption Energy,VE,Adsorption Energy
,eV,,eV,,eV
,Monometallic TMs,,Cu alloys,,Pt alloys
11,5.608978745,11,4.134827194,10.32280115,2.495111516
11,4.7414235,11,4.393660381,10.32280115,2.623943949
9,2.106999494,11,3.628236398,10,3.265591918
6,0.977673185,9.62260299,2.416516332,9.654893846,2.583624025
11,4.110073135,7.343420462,1.851158471,7.113786609,1.867945174
4,0.950402208,11,4.110073135,10.32280115,2.582668906
9,1.88966081,8.895920362,2.438740686,8.61773876,2.688282001
3,1.839902482,6.633249581,0.587037715,6.32455532,1.661174983
6,1.083346689,9.62260299,1.76341999,9.321697518,1.678740204
5,0.728154183,11,1.93691161,10,2.733575349
8,1.677095004,8.774964387,2.508364413,7.883735163,4.211434587
10,2.504732645,7.343420462,1.896682708,7.113786609,1.759121679
10,2.222465831,6.502957234,2.130566865,6.299605249,2.119152778
7,1.382594223,10.32280115,2.669206141,10,2.34829508
9,1.926347062,8.895920362,1.884561941,8.61773876,1.480621193
8,1.59930963,10.48808848,2.796323032,10,2.063205493
3,1.560266056,10.32280115,2.582668906,10,2.222465831
5,0.439420039,8.138223044,1.617196081,7.883735163,1.509700638
7,1.396295019,9.62260299,1.987524103,9.321697518,1.893514623
4,1.288465013,8.895920362,2.115206311,8.61773876,1.704283666
5,0.88328084,5.744562647,1.377864069,10,2.481784605
6,0.561387312,6.502957234,1.886466602,6.299605249,1.945962932
3,1.796520869,8.138223044,1.885343588,7.883735163,1.706457447
12,4.489099412,5.604078661,2.176645126,7.368062997,3.135507626
4,1.262184122,6.502957234,2.130292847,6.299605249,2.000818225
,,7.343420462,1.650907584,7.113786609,1.615414552
,,11,1.70533974,10,2.551482483
,,11,4.243781575,10.62658569,3.694731361
,,6.633249581,0.687920655,6.32455532,1.322552169
