VE,Adsorption Energy,VE,Adsorption Energy,VE,Adsorption Energy
,eV,,eV,,eV
,Monometallic TMs,,Cu alloys,,Pt alloys
11,0.338155323,11,0.051979866,10,-0.340017534
11,0.322403197,11,0.164787243,10,-0.247521278
12,0.825439234,11,0.171934721,10,-0.250679296
9,-0.448717897,9.62260299,-0.327433902,9.321697518,-0.226542254
6,-0.878578305,7.343420462,-0.632293103,7.113786609,-0.432063169
11,-0.053560439,11,-0.053560439,10,-0.309796707
4,-0.996874898,8.895920362,-0.406855632,8.61773876,0.079090568
9,-0.324119827,4,-0.900437073,4,-0.739253298
3,-0.687573846,11,0.151851087,10,-0.153773571
6,-0.989087,9,-0.381685238,9,-0.38702003
5,-0.943553103,4.626065009,-0.441825798,4.481404747,-0.207741637
8,-0.258513453,8.138223044,1.231930641,7.113786609,-0.470261149
10,-0.289728039,7.343420462,-0.637616739,6.299605249,-0.590736422
10,-0.312314032,6.502957234,-0.693316401,10,-0.284464542
7,-0.511985045,10.32280115,-0.337988381,8,-0.308441036
9,-0.284275014,8,-0.334694171,10,-0.306656241
8,-0.411165643,10.32280115,-0.22658484,10,-0.312314032
3,-1.003077461,10,-0.309796707,7,-0.407946808
5,-1.019672595,11,-0.635279145,9.321697518,-0.291889984
7,-0.559478978,9.62260299,-0.321869038,8.61773876,-0.262794756
4,-1.01043746,8,-0.277813263,4.481404747,-0.314158556
5,-0.99566059,3,-0.708506339,6.299605249,-0.640233657
6,-0.879511383,5,-0.754445142,7.883735163,-0.317942435
3,-0.970131958,7,-0.481917418,5.428835233,-0.467562597
12,0.552737221,5.604078661,-0.75827011,6.299605249,-0.52795078
4,-0.992339168,6.502957234,-0.659828031,6,-0.596738437
,,6,-0.746565813,3,-0.401255121
,,3,-0.704130749,10,-0.184417263
,,11.32371348,0.159172174,4,-0.621889647
,,5.604078661,-0.800465306,,
