Adsorption Energy, d-Band Center and Width, Surface
-3.187125988,1.437836745,Cu6Hf6
-2.895954793,1.168453181,Cu6Zr6
-2.688223361,-0.31283995050000013,Cu6Sc6
-2.582540468,1.3822349545000001,Cu6Y6
-2.527907356,0.8979281455000001,Cu6La6
-2.509730016,-0.049889344500000155,Cu6Ti6
-2.2387796,-1.8680057385,Cu6Ta6
-1.872181986,0.05231231749999998,Cu6V6
-1.843869766,-2.04947284,Cu6Nb6
-1.646489136,0.048542895500000016,Cr6Cu6
-1.632360849,1.300030773,Cu6W6
-1.416902336,0.16184770300000006,Cu6Mo6
-1.007275089,0.18364124900000012,Cu6Re6
-0.716398865,-0.012231346500000129,Cu6Tc6
-0.446155809,-1.2297457975000001,Cu6Fe6
-0.22997048,-0.26866591949999985,Cu6Os6
-0.099503323,-0.42693138500000005,Cu6Ru6
-0.097794856,-1.192674045,Co6Cu6
0.175920508,-1.10902067,Cu6Mn6
0.235364593,-0.9824023225,Cu6Ni6
0.297193347,-1.0887389155,Cu6Ir6
0.383054515,-0.624982052,Cu6Rh6
0.515538987,-2.0290127405,Cd6Cu6
0.640969725,-4.4948860085,Cu6Zn6
0.815140814,-1.8240804069999998,Cu12
0.844416181,-1.7124299725000003,Ag6Cu6
1.133460807,-1.1096968440000001,Cu6Pd6
1.170693735,-1.274839274,Cu6Pt6
1.365880039,-1.9096500635,Au6Cu6
1.483095796,-4.0664639685,Cu6Hg6
