 d-Band Center and Width,Adsorption Energy, Surface
-0.635492551,1.322552169,Pt6Zr6
-0.319382668,1.480621193,Os6Pt6
-0.059782163,1.509700638,Pt6Re6
0.059140769,1.615414552,Pt6W6
-0.627531158,1.661174983,Hf6Pt6
-1.145614102,1.678740204,Ir6Pt6
-0.365350116,1.704283666,Pt6Ru6
-0.156126431,1.706457447,Pt6Tc6
-0.051089497,1.759121679,Mo6Pt6
-0.171115776,1.867945174,Cr6Pt6
-0.553269086,1.893514623,Pt6Rh6
1.220367406,1.945962932,Pt6Ta6
-0.033505124,2.000818225,Pt6V6
-1.091084734,2.063205493,Pd6Pt6
0.188109387,2.119152778,Nb6Pt6
-1.193618169,2.222465831,Pt12
-1.383373579,2.34829508,Ni6Pt6
-1.860722473,2.481784605,Pt6Sc6
-1.476197606,2.495111516,Ag6Pt6
-1.5874329,2.551482483,Pt6Y6
-1.168994111,2.582668906,Cu6Pt6
-1.36088116,2.583624025,Co6Pt6
-1.30234079,2.623943949,Au6Pt6
-1.351694907,2.688282001,Fe6Pt6
-1.547827245,2.733575349,La6Pt6
-0.990894172,3.135507626,Pt6Ti6
-1.060716071,3.265591918,Cd6Pt6
-2.36946255,3.694731361,Pt6Zn6
-0.784596222,4.211434587,Mn6Pt6
