 d-Band Center and Width,Adsorption Energy, Surface
-0.591603778,0.587037715,Cu6Hf6
-0.633858309,0.687920655,Cu6Zr6
-0.930833022,1.377864069,Cu6Sc6
0.183611618,1.617196081,Cu6Re6
0.264450977,1.650907584,Cu6W6
-2.342616152,1.70533974,Cu6Y6
-1.088746034,1.76341999,Cu6Ir6
0.048542896,1.851158471,Cr6Cu6
-0.268665919,1.884561941,Cu6Os6
-0.012232829,1.885343588,Cu6Tc6
1.037467559,1.886466602,Cu6Ta6
0.161847703,1.896682708,Cu6Mo6
-2.106530548,1.93691161,Cu6La6
-0.624981621,1.987524103,Cu6Rh6
-0.426919166,2.115206311,Cu6Ru6
0.052312317,2.130292847,Cu6V6
0.128621507,2.130566865,Cu6Nb6
-0.049889345,2.176645126,Cu6Ti6
-1.192645667,2.416516332,Co6Cu6
-1.229745798,2.438740686,Cu6Fe6
-1.465673255,2.508364413,Cu6Mn6
-1.168994111,2.582668906,Cu6Pt6
-0.982403705,2.669206141,Cu6Ni6
-0.981708982,2.796323032,Cu6Pd6
-2.029012741,3.628236398,Cd6Cu6
-1.824080407,4.110073135,Cu12
-1.712429973,4.134827194,Ag6Cu6
-2.136695608,4.243781575,Cu6Zn6
-1.593320161,4.393660381,Au6Cu6
