Feature, Mean (eV), STDEV (eV)
GCN,0.0263384,0.023854224
MV,0.030592626,0.03250223
DOS,0.054004528,0.089801856
DBF,0.054045933,0.046320768
SE,0.062496535,0.064791121
LC,0.062657428,0.15479735225257046
EN,0.087638738,0.064751987
EAC,0.16464207332365177,0.14875504694459665
DBC,0.20337404272176124,0.1699754635939887
