Feature, Mean (eV), STDEV (eV)
MV,0.067499189,0.055526323
LC,0.069478747,0.071684223
DBF,0.097265331,0.123014846
EA,0.125652711,0.113200125
DOS,0.139145616,0.118117351
DBC,0.223437182,0.221303023
GCN,0.227704895,0.253242928
SE,0.32413423,0.246485223
EAC,0.329430616,0.436796304
