Feature, Mean (eV), STDEV (eV)
LC,0.04377636979235665,0.11571824934893461
MV,0.03883526966902446,0.04071182053298515
EN,0.06641926910543204,0.052246214509013074
SE,0.0900104644995823,0.07336101652902133
DBC,0.18673636055789422,0.13912238235545488
DBF,0.0848339070411073,0.07074750849545476
DOS,0.04576906395291013,0.06816825869303395
CN,0.15656978677314828,0.15726869802254073
GCN,0.0290615627592456,0.025770992948609586
