Feature, Mean (eV), STDEV (eV)
LC,0.06947874707303624,0.07168422312353943
MV,0.06749918947012072,0.05552632293044519
EA,0.12565271133355688,0.11320012463042686
SE,0.3241342296695958,0.24648522312422844
DBC,0.22343718184249967,0.2213030228103339
DBF,0.09726533116120063,0.123014846345019
DOS,0.1391456161889853,0.11811735096765455
CN,0.3294306158914047,0.4367963039707526
GCN,0.227704895099972,0.25324292841105844
