Feature, Mean (eV), STDEV (eV)
LC,0.07364907839975789,0.08865971029732461
EN,0.3108912911795233,0.2196314934303814
DBW,0.10706767393715998,0.0981914953993146
DBF,0.08818465692602805,0.0977947198037913
DOS,0.08159994820674722,0.08284020491517513
WF,0.12747631395573766,0.12102966733859243
CN,0.3649817178201411,0.32720536509138154
GCN,0.045350499255853306,0.037451054134571865
VE,0.9223284797808807,0.47779346508428794
